_start 0x8000000
intr_main 0x80000FC
AgbMain 0x8000A20
print_build_version 0x8000AFC
ExecProc 0x8003E44
ForEach6CDoNothing 0x8004920
DrawIcon 0x8004414
Font_InitForUI 0x800566C
InitClearTextBatch 0x80058B8
DrawTextInline 0x8006408
NewGreenTextColorManager 0x8006C9C
DrawSpecialUiChar_ 0x8006E10
DrawUiNumberOrDoubleDashes 0x8032268
StartFaceAuto 0x80082D0
SetFaceDisplayBits 0x801AD50
StartDialogue 0x80090CC
DialogueMain_OnInit 0x8009524
DialogueEnableBgSyncByMask 0x800CCB4
APProc_SetParameters 0x8017C60
ArchivePalette 0x8094438
IsFadeActive 0x80145D0
WaitForFade 0x80149B0
SomeDrawTextInlineAutoWidth 0x8014D0C
RerangeSomething 0x80153CC
PlaySpacialSoundMaybe 0x80153F4
MapMain_StartPhaseController 0x8015A18
MoveCameraByStepMaybe 0x8015CC4
GetSomeAdjustedCameraX 0x8015E44
GetSomeAdjustedCameraY 0x8015E88
DisplayCursor 0x8015F1C
EquipUnitItemSlot 0x80169E4
IsItemHammernable 0x8016D58
ClearUnits 0x8017364
GetNextFreeUnit 0x80173D8
RemoveUnitBlankItems 0x80174CC
AutolevelUnit 0x8017928
GetUnitByCharId 0x8017ABC
CanUnitRescue 0x8017AF8
SetAllUnitNotBackSprite 0x801809C
UnitDecreaseItemUse 0x80180D8
GetUnitAid 0x80180FC
GetUnitCurrentHP 0x8018388
SetUnitHP 0x8018548
UnitTryHeal 0x8018584
CanUnitCrossTerrain 0x8018670
SetupMapRowPointers 0x8018920
LoadChapterMapGfx 0x8018A88
SyncTilesFromMapBuffer 0x8018B20
RefreshTerrainMap 0x8018BE0
SetMovCostTable 0x8019484
MapMovementMarkMovementEdges 0x801985C
MapMarkMovementEdges 0x8019948
Loop6C_MLVCHC 0x801BD88
GetEnemyStartCursorPosition 0x801C430
ADJUSTFROMXI_MoveCameraOnSomeUnit 0x801C510
GasTrapEffectGfx_Setup 0x801D6B4
ItemSelectMenu_Usability 0x801F780
StealCommandUsability 0x8020438
StealItemMenuCommand_Usability 0x80205A8
ForEachUnitInRange 0x8020B04
TryAddToDropTargetList 0x8020F64
SMS_Init 0x8021BD0
SMS_RegisterUsage 0x8021C38
SMS_SyncIndirect 0x8021FE8
SMS_GetNewInfoStruct 0x80221EC
CanUseHealingItem 0x8023634
CanUseLockpick 0x8023728
SimulateBattle 0x8024248
GetStatIncrease 0x80250B0
GetAutoleveledStat 0x80250D4
SaveUnitsFromBattle 0x80254CC
BattleUnit_DidWRankGoUp 0x8025608
UpdateUnitFromBattleUnit 0x8025644
SetupBattleUnitEquippedWeapon 0x80259E4
ResetTraps 0x8026AC8
